2019-03-04 15:30:45.875 ERROR | ROTA: /welcome/save | Exception: Welcome validation failed: assunto: Esse campo é obrigatorio | criado em: Segunda-feira, 4 de Março de 2019 às 15:30. 
2019-03-04 15:32:41.377 ERROR | ROTA: /welcome/save | Exception: Welcome validation failed: assunto: Esse campo é obrigatorio | criado em: Segunda-feira, 4 de Março de 2019 às 15:32. 
2019-03-04 17:59:45.409 ERROR | ROTA: /welcome/save | Exception: Schema hasn't been registered for model "Welcome".
Use mongoose.model(name, schema) | criado em: Segunda-feira, 4 de Março de 2019 às 17:59. 
2019-03-04 18:00:10.570 ERROR | ROTA: /welcome/save | Exception: '[object Object]' | criado em: Segunda-feira, 4 de Março de 2019 às 18:00. 
2019-03-04 18:00:53.248 ERROR | ROTA: /welcome/save | Exception: '[object Object]' | criado em: Segunda-feira, 4 de Março de 2019 às 18:00. 
2019-03-04 18:01:39.218 ERROR | ROTA: /welcome/save | Exception: '[object Object]' | criado em: Segunda-feira, 4 de Março de 2019 às 18:01. 
2019-03-04 18:03:00.062 ERROR | ROTA: /welcome/save | Exception: Welcome validation failed: assunto: O campo assunto é obrigatório | criado em: Segunda-feira, 4 de Março de 2019 às 18:03. 
2019-03-04 18:04:24.209 ERROR | ROTA: /welcome/save | Exception: Welcome validation failed: assunto: O campo assunto é obrigatório | criado em: Segunda-feira, 4 de Março de 2019 às 18:04. 
2019-03-04 18:04:30.475 ERROR | ROTA: /welcome/save | Exception: Welcome validation failed: assunto: O campo assunto é obrigatório | criado em: Segunda-feira, 4 de Março de 2019 às 18:04. 
2019-03-05 10:10:02.784 ERROR | ROTA: /welcome/save | Exception: Welcome validation failed: assunto: O campo assunto é obrigatório | criado em: Terça-feira, 5 de Março de 2019 às 10:10. 
2019-03-05 10:10:19.997 ERROR | ROTA: /welcome/save | Exception: Welcome validation failed: assunto: O campo assunto é obrigatório | criado em: Terça-feira, 5 de Março de 2019 às 10:10. 
2019-03-05 12:38:32.109 ERROR | ROTA: /welcome/save | Exception: Welcome validation failed: assunto: O campo assunto é obrigatório | criado em: Terça-feira, 5 de Março de 2019 às 12:38. 
2019-03-05 16:12:41.240 ERROR | ROTA: /welcome/ | Exception:  | criado em: Terça-feira, 5 de Março de 2019 às 16:12. 
2019-03-05 16:16:31.753 ERROR | ROTA: /welcome/ | Exception:  | criado em: Terça-feira, 5 de Março de 2019 às 16:16. 
2019-03-05 16:17:21.273 ERROR | ROTA: /welcome/ | Exception:  | criado em: Terça-feira, 5 de Março de 2019 às 16:17. 
2019-03-05 16:17:41.997 ERROR | ROTA: /welcome | Exception: Maximum call stack size exceeded | criado em: Terça-feira, 5 de Março de 2019 às 16:17. 
2019-03-05 16:18:07.100 ERROR | ROTA: /welcome | Exception:  | criado em: Terça-feira, 5 de Março de 2019 às 16:18. 
2019-03-05 17:39:13.644 ERROR | ROTA: /welcome | Exception: Deu merdaaaa | criado em: Terça-feira, 5 de Março de 2019 às 17:39. 
2019-03-05 17:40:54.277 ERROR | ROTA: /welcome | Exception: Deu merdaaaa | criado em: Terça-feira, 5 de Março de 2019 às 17:40. 
